Date,Open,High,Low,Close,Adj Close,Volume
2021-01-01,184.949997,187.000000,184.500000,186.500000,185.348572,27334421
2021-01-04,191.800003,193.000000,188.750000,191.300003,190.118927,63980597
2021-01-05,187.100006,193.899994,185.050003,193.199997,192.007202,75752593
2021-01-06,194.449997,197.600006,190.649994,195.399994,194.193604,75621947
2021-01-07,197.000000,200.350006,195.100006,196.750000,195.535294,66024848
2021-01-08,198.750000,201.500000,197.100006,198.149994,196.926636,53991568
2021-01-11,199.899994,225.399994,199.649994,220.649994,219.287720,182483100
2021-01-12,227.000000,252.399994,224.100006,237.800003,236.331848,390577839
2021-01-13,242.899994,248.800003,238.399994,242.600006,241.102234,164649387
2021-01-14,242.850006,249.800003,238.600006,245.100006,243.586777,86819519
2021-01-15,246.000000,264.649994,242.600006,260.299988,258.692932,250038029
2021-01-18,261.649994,262.450012,241.149994,245.949997,244.431519,173383224
2021-01-19,251.500000,261.700012,251.300003,258.649994,257.053131,136861059
2021-01-20,260.000000,277.500000,258.850006,274.899994,273.202789,205145151
2021-01-21,281.000000,299.000000,280.000000,290.600006,288.805878,283614463
2021-01-22,295.950012,306.899994,278.350006,289.350006,287.563599,316008609
2021-01-25,296.899994,299.500000,277.350006,279.149994,277.426575,164346913
2021-01-27,274.899994,275.000000,265.700012,267.500000,265.848480,126586833
2021-01-28,260.049988,273.399994,259.049988,266.799988,265.152802,129156876
2021-01-29,273.000000,278.799988,260.600006,262.700012,261.078125,138442348
2021-02-01,269.750000,282.000000,255.350006,279.600006,277.873779,165655500
2021-02-02,293.600006,328.850006,290.399994,322.000000,320.011993,251965965
2021-02-03,339.200012,341.899994,326.200012,331.000000,328.956451,224190114
2021-02-04,329.000000,334.500000,322.450012,326.149994,324.136353,121033002
2021-02-05,327.600006,330.000000,312.600006,315.899994,313.949677,103512235
2021-02-08,318.750000,339.250000,318.000000,335.950012,333.875916,102123614
2021-02-09,337.000000,338.500000,322.200012,325.049988,323.043152,105981081
2021-02-10,326.000000,332.649994,319.500000,328.899994,326.869415,93466949
2021-02-11,326.450012,331.350006,323.399994,325.000000,322.993500,55257166
2021-02-12,326.399994,330.500000,321.250000,325.399994,323.391022,64093642
2021-02-15,329.899994,335.799988,324.000000,333.350006,331.291931,78680452
2021-02-16,335.450012,337.899994,327.500000,329.200012,327.167572,65943843
